in:Run,in:WWR_N,in:WWR_W,in:WWR_S,in:WWR_E,in:Wall_U_Value,in:Chi_Value,in:Shading_N,in:Shading_W,in:Shading_S,in:Shading_E,in:Window_U_Value,in:SHGC,out:Illuminance %,out:EUI kWh/m2,N_illuminace,N_EUI,I_EUI,out:Value,img,threeD
25,40,30,40,70,0.141,0.1,5,10,10,5,0.48,0.7,48.492792,57.835091,0.428571439,0.185801051,0.814198949,0.621385194,Run25_Joyce Street.png,Run25.json
94,60,30,30,50,0.189,0.1,5,10,5,10,0.48,0.5,48.820446,57.88186,0.441102768,0.18765447,0.81234553,0.626724149,Run94_Joyce Street.png,Run94.json
199,50,30,60,50,0.189,0.48,5,5,5,5,0.48,0.3,50.982962,57.951847,0.52380952,0.190427999,0.809572001,0.66669076,Run199_Joyce Street.png,Run199.json
71,40,40,30,70,0.189,0.48,5,5,5,10,0.48,0.5,47.57536,56.940658,0.393483689,0.150355375,0.849644625,0.621564157,Run71_Joyce Street.png,Run71.json
130,30,40,50,60,0.141,0.1,10,10,5,10,0.48,0.3,42.070773,56.777797,0.18295738,0.143901322,0.856098678,0.519528029,Run130_Joyce Street.png,Run130.json
123,30,60,30,30,0.284,0.1,10,10,5,10,0.48,0.5,37.68021,56.768814,0.015037602,0.143545332,0.856454668,0.435746135,Run123_Joyce Street.png,Run123.json
86,70,60,70,70,0.141,0.1,10,5,5,10,1.4,0.3,56.356488,73.709267,0.729323321,0.814882157,0.185117843,0.457220582,Run86_Joyce Street.png,Run86.json
4,70,70,30,50,0.284,0.1,5,10,5,5,0.48,0.7,55.570118,63.064351,0.699248118,0.393032511,0.606967489,0.653107804,Run4_Joyce Street.png,Run4.json
104,60,60,70,50,0.189,0.48,10,10,10,10,1.4,0.7,56.094364,69.116121,0.719298228,0.632859394,0.367140606,0.543219417,Run104_Joyce Street.png,Run104.json
112,70,40,60,40,0.284,0.1,5,10,10,10,1.4,0.7,56.225426,71.584083,0.724310775,0.730662787,0.269337213,0.496823994,Run112_Joyce Street.png,Run112.json
153,50,70,60,60,0.141,0.1,5,5,10,10,0.48,0.7,55.439056,61.104072,0.694235571,0.315348196,0.684651804,0.689443688,Run153_Joyce Street.png,Run153.json
186,60,40,60,60,0.284,0.48,10,10,10,5,0.48,0.3,55.242464,60.911991,0.68671679,0.307736177,0.692263823,0.689490306,Run186_Joyce Street.png,Run186.json
40,70,40,70,60,0.189,0.48,10,5,5,10,0.48,0.3,54.259502,58.29989,0.649122804,0.20422067,0.79577933,0.722451067,Run40_Joyce Street.png,Run40.json
42,60,30,60,40,0.189,0.48,10,5,10,5,0.48,0.7,52.621232,57.964854,0.586466162,0.190943457,0.809056543,0.697761353,Run42_Joyce Street.png,Run42.json
97,70,50,70,30,0.189,0.48,5,10,5,10,0.48,0.3,54.325033,58.504461,0.651629078,0.212327658,0.787672342,0.71965071,Run97_Joyce Street.png,Run97.json
147,70,60,30,70,0.189,0.1,10,5,10,5,0.48,0.5,53.669725,58.086998,0.626566421,0.195783927,0.804216073,0.715391247,Run147_Joyce Street.png,Run147.json
