in:Run,in:WWR_N,in:WWR_W,in:WWR_S,in:WWR_E,in:Wall_U_Value,in:Chi_Value,in:Shading_N,in:Shading_W,in:Shading_S,in:Shading_E,in:Window_U_Value,in:SHGC,out:Illuminance %,out:EUI kWh/m2,N_illuminace,N_EUI,I_EUI,out:Value,img,threeD
0,40,40,40,40,0.189,0.5,5,10,10,5,0.85,0.4,52.883355,62.861302,0.596491217,0.384985839,0.615014161,0.605752689,Run0_Joyce Street.png,Run0.json
1,70,30,50,60,0.141,0.1,5,10,5,10,0.48,0.5,63.433814,58.515806,1,0.212777251,0.787222749,0.893611375,Run1_Joyce Street.png,Run1.json
2,70,50,30,60,0.284,0.48,5,5,10,10,1.4,0.7,52.883355,72.617395,0.596491217,0.771612128,0.228387872,0.412439545,Run2_Joyce Street.png,Run2.json
3,40,30,70,60,0.141,0.1,10,5,5,10,0.48,0.7,45.87156,61.202289,0.328320812,0.319240459,0.680759541,0.504540177,Run3_Joyce Street.png,Run3.json
4,70,70,30,50,0.284,0.1,5,10,5,5,0.48,0.7,55.570118,63.064351,0.699248118,0.393032511,0.606967489,0.653107804,Run4_Joyce Street.png,Run4.json
5,50,40,30,60,0.284,0.1,10,10,5,5,0.48,0.7,48.296199,58.796768,0.42105262,0.223911554,0.776088446,0.598570533,Run5_Joyce Street.png,Run5.json
6,60,70,60,40,0.141,0.48,5,10,5,5,1.4,0.5,55.045872,69.692496,0.679198008,0.655700682,0.344299318,0.511748663,Run6_Joyce Street.png,Run6.json
7,30,30,50,70,0.284,0.48,10,10,5,10,1.4,0.5,40.760157,68.894039,0.132832066,0.624058459,0.375941541,0.254386803,Run7_Joyce Street.png,Run7.json
8,50,70,70,30,0.141,0.48,5,10,5,10,1.4,0.5,50.131062,68.553789,0.491228082,0.61057462,0.38942538,0.440326731,Run8_Joyce Street.png,Run8.json
9,50,50,70,40,0.141,0.1,5,5,10,5,1.4,0.5,54.325033,67.690835,0.651629078,0.576376432,0.423623568,0.537626323,Run9_Joyce Street.png,Run9.json
10,40,40,30,70,0.189,0.48,5,10,5,10,1.4,0.5,47.051114,67.417169,0.373433579,0.565531263,0.434468737,0.403951158,Run10_Joyce Street.png,Run10.json
11,60,30,40,30,0.189,0.48,10,10,5,5,1.4,0.3,47.313237,70.896418,0.383458634,0.703411164,0.296588836,0.340023735,Run11_Joyce Street.png,Run11.json
12,40,60,40,40,0.284,0.48,5,5,5,5,1.4,0.5,47.247706,67.184265,0.380952361,0.556301461,0.443698539,0.41232545,Run12_Joyce Street.png,Run12.json
13,40,60,30,60,0.284,0.48,10,5,10,10,1.4,0.5,45.478375,69.070022,0.31328321,0.631032527,0.368967473,0.341125342,Run13_Joyce Street.png,Run13.json
14,30,60,60,30,0.141,0.1,5,5,5,5,1.4,0.3,43.119266,66.662303,0.223057638,0.535616518,0.464383482,0.34372056,Run14_Joyce Street.png,Run14.json
15,30,30,50,40,0.189,0.1,10,5,5,5,0.48,0.7,39.187418,57.046903,0.072681697,0.154565781,0.845434219,0.459057958,Run15_Joyce Street.png,Run15.json
16,70,60,70,40,0.189,0.48,10,10,10,5,0.48,0.3,57.929227,59.004957,0.78947369,0.23216192,0.76783808,0.778655885,Run16_Joyce Street.png,Run16.json
17,40,60,50,60,0.189,0.48,5,10,5,10,1.4,0.5,49.21363,67.924546,0.456140331,0.585638215,0.414361785,0.435251058,Run17_Joyce Street.png,Run17.json
18,30,30,40,30,0.284,0.1,10,5,5,5,1.4,0.7,37.287025,63.492135,0,0.409985254,0.590014746,0.295007373,Run18_Joyce Street.png,Run18.json
19,60,40,30,70,0.189,0.48,10,5,10,5,0.48,0.5,51.900393,58.327037,0.558897232,0.205296484,0.794703516,0.676800374,Run19_Joyce Street.png,Run19.json
20,30,40,60,70,0.189,0.48,5,10,5,10,0.48,0.7,44.888598,60.324204,0.290726827,0.284442641,0.715557359,0.503142093,Run20_Joyce Street.png,Run20.json
21,40,60,40,50,0.141,0.1,10,10,10,10,0.48,0.3,47.378768,57.902218,0.385964908,0.188461241,0.811538759,0.598751833,Run21_Joyce Street.png,Run21.json
22,40,40,70,60,0.189,0.1,5,5,5,10,0.48,0.7,49.410223,63.607796,0.463659151,0.414568808,0.585431192,0.524545172,Run22_Joyce Street.png,Run22.json
23,70,60,40,40,0.284,0.48,10,10,5,5,0.48,0.7,53.014417,60.314765,0.601503764,0.284068581,0.715931419,0.658717592,Run23_Joyce Street.png,Run23.json
24,40,40,60,50,0.284,0.1,10,5,10,5,1.4,0.3,49.1481,72.697647,0.453634096,0.774792452,0.225207548,0.339420822,Run24_Joyce Street.png,Run24.json
25,40,30,40,70,0.141,0.1,5,10,10,5,0.48,0.7,48.492792,57.835091,0.428571439,0.185801051,0.814198949,0.621385194,Run25_Joyce Street.png,Run25.json
26,60,30,70,60,0.284,0.1,10,10,10,10,0.48,0.5,54.587156,57.952329,0.661654133,0.190447101,0.809552899,0.735603516,Run26_Joyce Street.png,Run26.json
27,40,30,60,30,0.141,0.1,5,10,10,5,1.4,0.3,45.609436,69.662983,0.318295719,0.654531105,0.345468895,0.331882307,Run27_Joyce Street.png,Run27.json
28,30,70,70,60,0.189,0.48,5,10,10,10,0.48,0.3,50.524246,58.314129,0.506265645,0.20478495,0.79521505,0.650740347,Run28_Joyce Street.png,Run28.json
29,40,30,30,30,0.141,0.48,5,10,10,5,0.48,0.5,38.597641,56.956263,0.050125314,0.150973789,0.849026211,0.449575762,Run29_Joyce Street.png,Run29.json
30,30,40,40,70,0.189,0.1,5,5,10,5,1.4,0.5,47.051114,66.309581,0.373433579,0.521638422,0.478361578,0.425897578,Run30_Joyce Street.png,Run30.json
31,70,50,70,70,0.189,0.1,5,5,5,5,1.4,0.7,57.994758,78.380514,0.791979964,1,0,0.395989982,Run31_Joyce Street.png,Run31.json
32,30,70,60,30,0.284,0.48,10,5,5,5,0.48,0.7,42.070773,62.070324,0.18295738,0.353640003,0.646359997,0.414658688,Run32_Joyce Street.png,Run32.json
33,30,50,70,40,0.141,0.48,10,10,5,5,0.48,0.7,42.529489,59.916301,0.200501255,0.268277766,0.731722234,0.466111744,Run33_Joyce Street.png,Run33.json
34,50,70,70,60,0.284,0.1,5,10,5,5,1.4,0.3,54.325033,73.72825,0.651629078,0.815634438,0.184365562,0.41799732,Run34_Joyce Street.png,Run34.json
35,40,70,50,30,0.189,0.1,5,5,5,5,1.4,0.7,46.330275,67.614387,0.345864649,0.573346857,0.426653143,0.386258896,Run35_Joyce Street.png,Run35.json
36,30,70,60,70,0.284,0.48,5,5,5,10,1.4,0.5,47.57536,68.913196,0.393483689,0.624817636,0.375182364,0.384333027,Run36_Joyce Street.png,Run36.json
37,30,40,30,60,0.189,0.1,5,10,5,5,1.4,0.5,42.857143,65.249043,0.213032583,0.479610136,0.520389864,0.366711224,Run37_Joyce Street.png,Run37.json
38,60,30,70,70,0.189,0.1,5,5,5,5,1.4,0.7,54.849279,75.377052,0.671679188,0.880975164,0.119024836,0.395352012,Run38_Joyce Street.png,Run38.json
39,70,30,30,40,0.189,0.48,10,10,10,5,1.4,0.3,47.182176,73.457382,0.378446126,0.804900152,0.195099848,0.286772987,Run39_Joyce Street.png,Run39.json
40,70,40,70,60,0.189,0.48,10,5,5,10,0.48,0.3,54.259502,58.29989,0.649122804,0.20422067,0.79577933,0.722451067,Run40_Joyce Street.png,Run40.json
41,40,30,70,50,0.284,0.48,5,5,5,5,0.48,0.7,47.182176,64.721859,0.378446126,0.458718249,0.541281751,0.459863939,Run41_Joyce Street.png,Run41.json
42,60,30,60,40,0.189,0.48,10,5,10,5,0.48,0.7,52.621232,57.964854,0.586466162,0.190943457,0.809056543,0.697761353,Run42_Joyce Street.png,Run42.json
43,40,40,50,30,0.284,0.48,10,10,5,5,1.4,0.3,42.988204,71.457673,0.218045092,0.725653258,0.274346742,0.246195917,Run43_Joyce Street.png,Run43.json
44,30,40,60,30,0.141,0.1,10,5,5,10,1.4,0.5,39.187418,63.59752,0.072681697,0.414161579,0.585838421,0.329260059,Run44_Joyce Street.png,Run44.json
45,50,60,60,60,0.189,0.1,5,10,10,5,1.4,0.3,55.832241,73.585797,0.709273173,0.809989138,0.190010862,0.449642018,Run45_Joyce Street.png,Run45.json
46,70,70,40,60,0.141,0.48,10,5,10,10,1.4,0.7,55.242464,70.391299,0.68671679,0.683393695,0.316606305,0.501661547,Run46_Joyce Street.png,Run46.json
47,70,40,70,30,0.284,0.1,5,10,10,5,0.48,0.7,56.684142,61.827575,0.74185465,0.344020051,0.655979949,0.6989173,Run47_Joyce Street.png,Run47.json
48,70,40,30,30,0.284,0.48,10,5,10,10,0.48,0.7,46.985583,59.473182,0.370927306,0.250717309,0.749282691,0.560104999,Run48_Joyce Street.png,Run48.json
49,30,50,30,40,0.141,0.1,10,10,5,5,0.48,0.7,39.515072,53.988322,0.085213026,0.033356622,0.966643378,0.525928202,Run49_Joyce Street.png,Run49.json
50,30,60,60,40,0.189,0.1,5,10,5,10,1.4,0.5,44.167759,65.785626,0.263157897,0.500874498,0.499125502,0.381141699,Run50_Joyce Street.png,Run50.json
51,60,70,40,60,0.284,0.1,5,5,5,5,1.4,0.5,54.652687,70.131909,0.664160406,0.673114274,0.326885726,0.495523066,Run51_Joyce Street.png,Run51.json
52,70,30,30,40,0.141,0.1,10,10,5,10,1.4,0.3,47.837484,70.536689,0.403508783,0.689155387,0.310844613,0.357176698,Run52_Joyce Street.png,Run52.json
53,30,30,70,70,0.141,0.1,5,5,10,10,0.48,0.3,48.230668,56.966353,0.418546346,0.151373648,0.848626352,0.633586349,Run53_Joyce Street.png,Run53.json
54,40,60,40,30,0.189,0.1,5,5,10,5,1.4,0.5,45.281782,65.467316,0.30576439,0.488260123,0.511739877,0.408752134,Run54_Joyce Street.png,Run54.json
55,30,60,70,70,0.141,0.1,5,10,5,10,0.48,0.7,46.854522,61.35832,0.365914797,0.325423844,0.674576156,0.520245477,Run55_Joyce Street.png,Run55.json
56,40,60,60,60,0.284,0.1,5,5,10,10,1.4,0.7,52.096986,68.559513,0.566416052,0.610801457,0.389198543,0.477807297,Run56_Joyce Street.png,Run56.json
57,70,60,60,50,0.284,0.1,10,10,5,5,1.4,0.5,56.094364,71.493837,0.719298228,0.727086409,0.272913591,0.49610591,Run57_Joyce Street.png,Run57.json
58,70,40,40,70,0.141,0.1,5,10,5,5,1.4,0.7,56.618611,72.309342,0.739348377,0.75940423,0.24059577,0.489972073,Run58_Joyce Street.png,Run58.json
59,60,50,30,60,0.141,0.1,10,10,5,10,0.48,0.5,50.8519,55.987009,0.518796974,0.112563015,0.887436985,0.703116979,Run59_Joyce Street.png,Run59.json
60,50,30,30,60,0.141,0.48,10,10,5,5,1.4,0.7,46.72346,65.93885,0.360902251,0.506946644,0.493053356,0.426977803,Run60_Joyce Street.png,Run60.json
61,30,40,40,50,0.141,0.1,10,5,10,10,0.48,0.5,41.80865,54.613957,0.172932325,0.058150045,0.941849955,0.55739114,Run61_Joyce Street.png,Run61.json
62,60,50,60,60,0.284,0.1,5,10,5,10,1.4,0.3,54.652687,73.757406,0.664160406,0.816789867,0.183210133,0.423685269,Run62_Joyce Street.png,Run62.json
63,40,30,70,60,0.189,0.1,5,10,10,5,0.48,0.7,50.982962,58.454172,0.52380952,0.210334744,0.789665256,0.656737388,Run63_Joyce Street.png,Run63.json
64,50,60,40,40,0.141,0.48,5,10,5,5,0.48,0.5,50.065531,56.352736,0.488721808,0.127056489,0.872943511,0.68083266,Run64_Joyce Street.png,Run64.json
65,70,30,60,70,0.141,0.1,5,10,10,10,1.4,0.5,58.256881,71.807705,0.802005019,0.739524751,0.260475249,0.531240134,Run65_Joyce Street.png,Run65.json
66,70,30,40,30,0.141,0.48,5,10,5,10,0.48,0.5,50.327654,58.113805,0.498746863,0.196846268,0.803153732,0.650950298,Run66_Joyce Street.png,Run66.json
67,30,30,70,50,0.189,0.1,10,5,5,5,1.4,0.3,41.677588,68.900343,0.167919778,0.624308282,0.375691718,0.271805748,Run67_Joyce Street.png,Run67.json
68,40,70,30,70,0.141,0.1,5,5,5,5,1.4,0.7,49.803408,67.740369,0.478696753,0.578339425,0.421660575,0.450178664,Run68_Joyce Street.png,Run68.json
69,60,50,50,70,0.284,0.48,10,10,10,10,1.4,0.7,55.504587,70.159796,0.696741845,0.674219413,0.325780587,0.511261216,Run69_Joyce Street.png,Run69.json
70,70,30,60,40,0.189,0.48,5,5,10,10,0.48,0.5,55.242464,58.570743,0.68671679,0.214954361,0.785045639,0.735881214,Run70_Joyce Street.png,Run70.json
71,40,40,30,70,0.189,0.48,5,5,5,10,0.48,0.5,47.57536,56.940658,0.393483689,0.150355375,0.849644625,0.621564157,Run71_Joyce Street.png,Run71.json
72,60,70,40,40,0.189,0.48,5,5,5,10,0.48,0.3,51.703801,57.79918,0.55137845,0.184377926,0.815622074,0.683500262,Run72_Joyce Street.png,Run72.json
73,60,30,60,30,0.141,0.48,5,5,10,10,1.4,0.3,52.096986,71.675212,0.566416052,0.734274157,0.265725843,0.416070947,Run73_Joyce Street.png,Run73.json
74,40,50,50,30,0.141,0.48,10,5,5,5,1.4,0.5,43.905636,64.696794,0.253132842,0.457724942,0.542275058,0.39770395,Run74_Joyce Street.png,Run74.json
75,40,70,40,40,0.189,0.1,10,10,10,10,0.48,0.5,47.051114,55.45,0.373433579,0.091281771,0.908718229,0.641075904,Run75_Joyce Street.png,Run75.json
76,50,70,70,30,0.189,0.1,10,5,5,10,1.4,0.5,48.427261,67.828482,0.426065166,0.581831274,0.418168726,0.422116946,Run76_Joyce Street.png,Run76.json
77,70,60,40,30,0.284,0.48,5,10,5,5,1.4,0.7,53.27654,71.42532,0.611528819,0.724371134,0.275628866,0.443578843,Run77_Joyce Street.png,Run77.json
78,50,30,40,70,0.284,0.1,10,5,10,10,0.48,0.3,49.934469,60.497337,0.483709262,0.291303765,0.708696235,0.596202748,Run78_Joyce Street.png,Run78.json
79,40,40,60,60,0.141,0.48,10,5,10,10,1.4,0.3,49.541284,71.842054,0.46867166,0.740885974,0.259114026,0.363892843,Run79_Joyce Street.png,Run79.json
80,40,70,30,30,0.284,0.1,10,10,10,10,1.4,0.3,41.02228,72.58014,0.142857121,0.770135742,0.229864258,0.18636069,Run80_Joyce Street.png,Run80.json
81,40,50,40,50,0.141,0.48,5,5,5,5,0.48,0.3,47.706422,56.720501,0.398496236,0.141630726,0.858369274,0.628432755,Run81_Joyce Street.png,Run81.json
82,30,40,60,30,0.141,0.1,10,10,10,10,0.48,0.7,39.908257,53.146604,0.100250627,0,1,0.550125314,Run82_Joyce Street.png,Run82.json
83,50,40,30,70,0.284,0.48,5,10,10,10,0.48,0.7,48.492792,60.569582,0.428571439,0.294166778,0.705833222,0.567202331,Run83_Joyce Street.png,Run83.json
84,60,60,30,50,0.189,0.1,5,10,10,10,0.48,0.3,50.458716,59.252124,0.50375941,0.241956954,0.758043046,0.630901228,Run84_Joyce Street.png,Run84.json
85,30,30,30,70,0.284,0.1,10,5,10,10,1.4,0.3,38.597641,71.821703,0.050125314,0.74007948,0.25992052,0.155022917,Run85_Joyce Street.png,Run85.json
86,70,60,70,70,0.141,0.1,10,5,5,10,1.4,0.3,56.356488,73.709267,0.729323321,0.814882157,0.185117843,0.457220582,Run86_Joyce Street.png,Run86.json
87,30,70,40,60,0.284,0.48,10,5,10,5,0.48,0.5,45.347313,57.765857,0.308270664,0.183057362,0.816942638,0.562606651,Run87_Joyce Street.png,Run87.json
88,70,60,60,30,0.284,0.48,10,5,5,5,0.48,0.5,52.621232,58.803446,0.586466162,0.224176198,0.775823802,0.681144982,Run88_Joyce Street.png,Run88.json
89,60,40,30,30,0.141,0.48,5,10,10,5,1.4,0.3,46.920052,70.885714,0.368421033,0.702986973,0.297013027,0.33271703,Run89_Joyce Street.png,Run89.json
90,30,30,70,60,0.284,0.48,10,5,5,5,1.4,0.3,42.726081,71.688396,0.208020036,0.734796629,0.265203371,0.236611704,Run90_Joyce Street.png,Run90.json
91,40,40,70,40,0.141,0.48,5,5,10,5,1.4,0.5,50,67.012385,0.486215535,0.549489992,0.450510008,0.468362772,Run91_Joyce Street.png,Run91.json
92,40,30,60,30,0.189,0.1,10,10,10,10,0.48,0.7,43.840105,54.71765,0.250626568,0.062259317,0.937740683,0.594183626,Run92_Joyce Street.png,Run92.json
93,40,30,30,40,0.284,0.1,10,10,5,10,1.4,0.5,40.629096,67.12318,0.127819557,0.553880711,0.446119289,0.286969423,Run93_Joyce Street.png,Run93.json
94,60,30,30,50,0.189,0.1,5,10,5,10,0.48,0.5,48.820446,57.88186,0.441102768,0.18765447,0.81234553,0.626724149,Run94_Joyce Street.png,Run94.json
95,70,60,40,60,0.141,0.1,10,10,5,10,1.4,0.7,54.390564,68.673477,0.654135351,0.615317761,0.384682239,0.519408795,Run95_Joyce Street.png,Run95.json
96,40,40,70,50,0.141,0.48,5,10,10,10,0.48,0.5,50.655308,55.970595,0.511278192,0.111912541,0.888087459,0.699682825,Run96_Joyce Street.png,Run96.json
97,70,50,70,30,0.189,0.48,5,10,5,10,0.48,0.3,54.325033,58.504461,0.651629078,0.212327658,0.787672342,0.71965071,Run97_Joyce Street.png,Run97.json
98,40,60,40,70,0.189,0.48,10,10,10,5,0.48,0.3,50.655308,59.675692,0.511278192,0.258742621,0.741257379,0.626267786,Run98_Joyce Street.png,Run98.json
99,50,30,60,70,0.141,0.48,10,10,10,5,1.4,0.5,52.752294,70.072169,0.591478709,0.670746824,0.329253176,0.460365942,Run99_Joyce Street.png,Run99.json
100,40,70,70,40,0.284,0.1,10,10,5,5,0.48,0.3,48.034076,58.119925,0.411027564,0.197088798,0.802911202,0.606969383,Run100_Joyce Street.png,Run100.json
101,30,50,40,30,0.284,0.48,5,5,10,10,1.4,0.3,40.760157,70.914976,0.132832066,0.704146603,0.295853397,0.214342732,Run101_Joyce Street.png,Run101.json
102,50,60,30,70,0.189,0.48,10,5,10,10,1.4,0.7,48.885976,67.688861,0.443609003,0.576298203,0.423701797,0.4336554,Run102_Joyce Street.png,Run102.json
103,60,30,30,70,0.141,0.48,10,10,10,5,1.4,0.7,48.754915,68.482476,0.438596495,0.607748542,0.392251458,0.415423977,Run103_Joyce Street.png,Run103.json
104,60,60,70,50,0.189,0.48,10,10,10,10,1.4,0.7,56.094364,69.116121,0.719298228,0.632859394,0.367140606,0.543219417,Run104_Joyce Street.png,Run104.json
105,60,60,30,60,0.141,0.48,5,5,5,5,1.4,0.3,53.27654,70.537864,0.611528819,0.689201951,0.310798049,0.461163434,Run105_Joyce Street.png,Run105.json
106,70,30,40,70,0.284,0.1,10,5,5,10,1.4,0.3,53.538663,73.665754,0.621553874,0.813157771,0.186842229,0.404198052,Run106_Joyce Street.png,Run106.json
107,70,70,70,40,0.141,0.1,5,5,5,10,1.4,0.3,55.176933,72.201165,0.684210516,0.755117261,0.244882739,0.464546628,Run107_Joyce Street.png,Run107.json
108,30,70,30,40,0.141,0.1,10,5,5,10,0.48,0.3,39.842726,55.913184,0.097744354,0.109637389,0.890362611,0.494053483,Run108_Joyce Street.png,Run108.json
109,60,40,70,40,0.141,0.48,5,10,10,10,1.4,0.7,55.504587,69.50092,0.696741845,0.648108676,0.351891324,0.524316584,Run109_Joyce Street.png,Run109.json
110,50,50,30,40,0.189,0.1,5,5,10,5,0.48,0.3,46.920052,58.197003,0.368421033,0.200143339,0.799856661,0.584138847,Run110_Joyce Street.png,Run110.json
111,60,40,40,40,0.284,0.48,10,5,5,10,1.4,0.3,49.21363,72.342178,0.456140331,0.760705495,0.239294505,0.347717418,Run111_Joyce Street.png,Run111.json
112,70,40,60,40,0.284,0.1,5,10,10,10,1.4,0.7,56.225426,71.584083,0.724310775,0.730662787,0.269337213,0.496823994,Run112_Joyce Street.png,Run112.json
113,70,40,60,50,0.189,0.48,10,5,5,10,1.4,0.7,53.800786,71.651138,0.631578929,0.733320124,0.266679876,0.449129403,Run113_Joyce Street.png,Run113.json
114,50,60,50,30,0.189,0.1,10,10,10,10,0.48,0.7,48.689384,54.806655,0.436090221,0.065786515,0.934213485,0.685151853,Run114_Joyce Street.png,Run114.json
115,40,70,70,40,0.189,0.48,10,5,10,10,0.48,0.3,51.114024,57.67418,0.528822067,0.179424275,0.820575725,0.674698896,Run115_Joyce Street.png,Run115.json
116,30,60,70,70,0.141,0.48,10,5,10,5,1.4,0.7,49.803408,67.360781,0.478696753,0.563296651,0.436703349,0.457700051,Run116_Joyce Street.png,Run116.json
117,30,40,70,30,0.189,0.1,10,5,5,5,1.4,0.5,39.777195,65.221808,0.095238081,0.478530834,0.521469166,0.308353623,Run117_Joyce Street.png,Run117.json
118,40,70,30,30,0.141,0.1,5,5,10,10,0.48,0.3,41.677588,56.790618,0.167919778,0.144409408,0.855590592,0.511755185,Run118_Joyce Street.png,Run118.json
119,70,70,30,40,0.141,0.48,10,5,10,10,0.48,0.7,49.410223,60.039826,0.463659151,0.273172964,0.726827036,0.595243093,Run119_Joyce Street.png,Run119.json
120,70,70,60,60,0.189,0.1,10,5,5,10,0.48,0.5,56.290957,58.304412,0.726817048,0.204399873,0.795600127,0.761208588,Run120_Joyce Street.png,Run120.json
121,60,70,50,40,0.284,0.1,10,5,10,10,1.4,0.7,52.359109,69.195855,0.576441107,0.63601919,0.36398081,0.470210959,Run121_Joyce Street.png,Run121.json
