in:Run,in:WWR_N,in:WWR_W,in:WWR_S,in:WWR_E,in:Wall_U_Value,in:Chi_Value,in:Shading_N,in:Shading_W,in:Shading_S,in:Shading_E,in:Window_U_Value,in:SHGC,out:Illuminance %,out:EUI kWh/m2,N_illuminace,N_EUI,I_EUI,out:Value,img,threeD
72,60,70,40,40,0.189,0.48,5,5,5,10,0.48,0.3,51.703801,57.79918,0.55137845,0.184377926,0.815622074,0.683500262,Run72_Joyce Street.png,Run72.json
115,40,70,70,40,0.189,0.48,10,5,10,10,0.48,0.3,51.114024,57.67418,0.528822067,0.179424275,0.820575725,0.674698896,Run115_Joyce Street.png,Run115.json
53,30,30,70,70,0.141,0.1,5,5,10,10,0.48,0.3,48.230668,56.966353,0.418546346,0.151373648,0.848626352,0.633586349,Run53_Joyce Street.png,Run53.json
81,40,50,40,50,0.141,0.48,5,5,5,5,0.48,0.3,47.706422,56.720501,0.398496236,0.141630726,0.858369274,0.628432755,Run81_Joyce Street.png,Run81.json
143,40,50,40,70,0.189,0.48,10,5,5,10,0.48,0.5,47.57536,56.335408,0.393483689,0.126369794,0.873630206,0.633556948,Run143_Joyce Street.png,Run143.json
31,70,50,70,70,0.189,0.1,5,5,5,5,1.4,0.7,57.994758,78.380514,0.791979964,1.0,0.0,0.395989982,Run31_Joyce Street.png,Run31.json
125,70,70,40,60,0.189,0.48,10,10,10,5,1.4,0.3,57.273919,75.857567,0.764411033,0.900017595,0.099982405,0.432196719,Run125_Joyce Street.png,Run125.json
108,30,70,30,40,0.141,0.1,10,5,5,10,0.48,0.3,39.842726,55.913184,0.097744354,0.109637389,0.890362611,0.494053483,Run108_Joyce Street.png,Run108.json
58,70,40,40,70,0.141,0.1,5,10,5,5,1.4,0.7,56.618611,72.309342,0.739348377,0.75940423,0.24059577,0.489972073,Run58_Joyce Street.png,Run58.json
70,70,30,60,40,0.189,0.48,5,5,10,10,0.48,0.5,55.242464,58.570743,0.68671679,0.214954361,0.785045639,0.735881214,Run70_Joyce Street.png,Run70.json
193,70,30,40,60,0.284,0.1,5,5,10,5,0.48,0.5,56.225426,60.383452,0.724310775,0.286790593,0.713209407,0.718760091,Run193_Joyce Street.png,Run193.json
26,60,30,70,60,0.284,0.1,10,10,10,10,0.48,0.5,54.587156,57.952329,0.661654133,0.190447101,0.809552899,0.735603516,Run26_Joyce Street.png,Run26.json
